# v_mps,ax_max_machines_mps2
#
# BRAKING limit for the velocity planner. It caps how steeply the state
# machine's update_velocity is allowed to bring the speed down on an
# avoidance path, which is exactly the deceleration the car was failing
# to make before hitting the obstacle it was avoiding.
#
# Was a flat 5.0 - a stub written to stop the state machine dying in its
# constructor when the file was missing, and never revisited. Against
# ax_max_machines.csv allowing 9.1 for ACCELERATION that is backwards:
# the same motor at the same current limit, and vesc's Motor Current Max
# Brake is set to -60 A, matching the drive side. ggv.csv allows 12.
#
# 9.0 -> 12.0, the ggv's limit, because the car still would not stop
# decisively enough. This is now the highest number in the chain: the
# velocity planner will ask for everything ggv.csv permits, and what
# actually happens is bounded by tyre grip and by vesc's Motor Current
# Max Brake (-60 A), neither of which this file can exceed.
#
# If it locks the wheels or the car will not steer while braking, this
# is where to come back to - and ggv.csv's ay_max is the same 12, so
# the planner believes it can brake and corner at once.
0.00,12.0
0.25,12.0
0.50,12.0
0.75,12.0
1.00,12.0
1.25,12.0
1.50,12.0
1.75,12.0
2.00,12.0
2.25,12.0
2.50,12.0
2.75,12.0
3.00,12.0
3.25,12.0
3.50,12.0
3.75,12.0
4.00,12.0
4.25,12.0
4.50,12.0
4.75,12.0
5.00,12.0
5.25,12.0
5.50,12.0
5.75,12.0
6.00,12.0
6.25,12.0
6.50,12.0
6.75,12.0
7.00,12.0
7.25,12.0
7.50,12.0
7.75,12.0
8.00,12.0
8.25,12.0
8.50,12.0
8.75,12.0
9.00,12.0
9.25,12.0
9.50,12.0
9.75,12.0
10.00,12.0
10.25,12.0
10.50,12.0
10.75,12.0
11.00,12.0
11.25,12.0
11.50,12.0
11.75,12.0
12.00,12.0
12.25,12.0
12.50,12.0
12.75,12.0
13.00,12.0
13.25,12.0
13.50,12.0
13.75,12.0
14.00,12.0
14.25,12.0
14.50,12.0
14.75,12.0
15.00,12.0
